VEGA gene ID	Pathway stable ID
OTTHUMG00000151919	REACT_20605
OTTHUMG00000151919	REACT_22232
OTTHUMG00000151919	REACT_21308
OTTHUMG00000151919	REACT_21399
OTTHUMG00000151919	REACT_21368
OTTHUMG00000151919	REACT_25325
OTTHUMG00000151919	REACT_24994
OTTHUMG00000151919	REACT_21279
OTTHUMG00000151919	REACT_21300
OTTHUMG00000151919	REACT_21267
OTTHUMG00000151919	REACT_23837
OTTHUMG00000151919	REACT_21257
OTTHUMG00000151919	REACT_23787
OTTHUMG00000151919	REACT_25026
OTTHUMG00000151919	REACT_24938
OTTHUMG00000151919	REACT_24969
OTTHUMG00000151919	REACT_25039
OTTHUMG00000151919	REACT_25271
OTTHUMG00000151919	REACT_24918
OTTHUMG00000151919	REACT_25374
OTTHUMG00000151919	REACT_25380
OTTHUMG00000151919	REACT_25281
OTTHUMG00000151919	REACT_25351
OTTHUMG00000151919	REACT_25120
OTTHUMG00000151919	REACT_25024
OTTHUMG00000151919	REACT_25354
OTTHUMG00000151919	REACT_25222
OTTHUMG00000151919	REACT_25018
OTTHUMG00000133746	REACT_23832
OTTHUMG00000133746	REACT_22205
OTTHUMG00000133746	REACT_18334
OTTHUMG00000133746	REACT_18266
OTTHUMG00000133746	REACT_22266
OTTHUMG00000133746	REACT_23853
OTTHUMG00000133746	
OTTHUMG00000151852	REACT_1949
OTTHUMG00000151852	REACT_2243
OTTHUMG00000151852	REACT_1725
OTTHUMG00000151852	REACT_1156
OTTHUMG00000151852	REACT_734
OTTHUMG00000151852	REACT_1221
OTTHUMG00000151852	REACT_2148
OTTHUMG00000151852	REACT_4
OTTHUMG00000151852	REACT_2014
OTTHUMG00000151852	REACT_899
OTTHUMG00000151852	REACT_152
OTTHUMG00000151852	REACT_207
OTTHUMG00000151852	REACT_829
OTTHUMG00000151852	REACT_383
OTTHUMG00000151852	REACT_309
OTTHUMG00000151852	REACT_1625
OTTHUMG00000151852	REACT_85
OTTHUMG00000151852	REACT_1614
OTTHUMG00000151852	REACT_2160
OTTHUMG00000151852	REACT_1208
OTTHUMG00000151852	REACT_2254
OTTHUMG00000151852	REACT_1538
OTTHUMG00000151852	REACT_13
OTTHUMG00000151852	REACT_938
OTTHUMG00000151852	REACT_578
OTTHUMG00000151852	REACT_6185
OTTHUMG00000151852	REACT_6288
OTTHUMG00000151852	REACT_13648
OTTHUMG00000151852	REACT_6821
OTTHUMG00000151852	REACT_6828
OTTHUMG00000151852	REACT_6871
OTTHUMG00000151852	REACT_6761
OTTHUMG00000151852	REACT_6850
OTTHUMG00000151852	REACT_6837
OTTHUMG00000151852	REACT_6781
OTTHUMG00000151852	REACT_6954
OTTHUMG00000151852	REACT_9031
OTTHUMG00000151852	REACT_9453
OTTHUMG00000151852	REACT_11063
OTTHUMG00000151852	REACT_11045
OTTHUMG00000151852	REACT_13464
OTTHUMG00000151852	REACT_20549
OTTHUMG00000151852	REACT_13565
OTTHUMG00000151852	REACT_20605
OTTHUMG00000151852	REACT_25325
OTTHUMG00000151852	REACT_24994
OTTHUMG00000151852	REACT_21279
OTTHUMG00000151852	REACT_21300
OTTHUMG00000151852	REACT_21257
OTTHUMG00000129259	REACT_14797
OTTHUMG00000129259	REACT_14828
OTTHUMG00000129259	REACT_16942
OTTHUMG00000129259	REACT_19184
OTTHUMG00000129259	REACT_19327
OTTHUMG00000129259	REACT_21340
OTTHUMG00000129257	REACT_14797
OTTHUMG00000129257	REACT_14828
OTTHUMG00000129257	REACT_16942
OTTHUMG00000129257	REACT_19184
OTTHUMG00000129257	REACT_19327
OTTHUMG00000129257	REACT_21340
OTTHUMG00000128850	REACT_1008
OTTHUMG00000128850	REACT_723
OTTHUMG00000128850	REACT_474
OTTHUMG00000128850	REACT_20
OTTHUMG00000128850	REACT_798
OTTHUMG00000128850	REACT_1280
OTTHUMG00000128850	REACT_604
OTTHUMG00000128850	REACT_15295
OTTHUMG00000128850	REACT_15502
OTTHUMG00000128850	REACT_9000
OTTHUMG00000128850	REACT_15307
OTTHUMG00000128850	REACT_9053
OTTHUMG00000128850	REACT_15526
OTTHUMG00000128850	REACT_15426
OTTHUMG00000128850	REACT_15370
OTTHUMG00000128850	REACT_13477
OTTHUMG00000128850	REACT_13685
OTTHUMG00000128850	REACT_318
OTTHUMG00000128850	REACT_11061
OTTHUMG00000128850	REACT_12079
OTTHUMG00000128850	REACT_15334
OTTHUMG00000128850	REACT_12056
OTTHUMG00000128850	REACT_12508
OTTHUMG00000128850	REACT_12477
OTTHUMG00000128850	REACT_12389
OTTHUMG00000128850	REACT_17044
OTTHUMG00000128850	REACT_20593
OTTHUMG00000128850	REACT_20661
OTTHUMG00000128850	REACT_20642
OTTHUMG00000128850	REACT_20568
OTTHUMG00000128850	REACT_20652
OTTHUMG00000128850	REACT_20563
OTTHUMG00000128850	REACT_20546
OTTHUMG00000128850	REACT_20558
OTTHUMG00000128850	REACT_21322
OTTHUMG00000128850	REACT_21346
OTTHUMG00000128850	REACT_21312
OTTHUMG00000153100	REACT_17015
OTTHUMG00000153100	REACT_22426
OTTHUMG00000153100	REACT_22161
OTTHUMG00000153100	REACT_25046
OTTHUMG00000128816	REACT_952
OTTHUMG00000128816	REACT_1853
OTTHUMG00000128816	REACT_17015
OTTHUMG00000128816	REACT_22161
OTTHUMG00000150653	REACT_11044
OTTHUMG00000150653	REACT_11051
OTTHUMG00000128819	REACT_498
OTTHUMG00000128819	REACT_1109
OTTHUMG00000128819	REACT_15518
OTTHUMG00000128819	REACT_25060
OTTHUMG00000128819	REACT_25283
OTTHUMG00000128817	REACT_20
OTTHUMG00000128817	REACT_798
OTTHUMG00000128817	REACT_604
OTTHUMG00000128817	REACT_2202
OTTHUMG00000128817	REACT_11061
OTTHUMG00000128817	REACT_12079
OTTHUMG00000128817	REACT_12056
OTTHUMG00000128817	REACT_14797
OTTHUMG00000128817	REACT_19184
OTTHUMG00000128817	REACT_18283
OTTHUMG00000128817	REACT_19333
OTTHUMG00000128759	REACT_13
OTTHUMG00000128759	REACT_13796
OTTHUMG00000128759	REACT_15518
OTTHUMG00000128759	REACT_19419
OTTHUMG00000128759	REACT_19397
OTTHUMG00000128759	REACT_19118
OTTHUMG00000128756	REACT_602
OTTHUMG00000128756	REACT_13781
OTTHUMG00000128756	REACT_22258
OTTHUMG00000128758	REACT_602
OTTHUMG00000128758	REACT_13781
OTTHUMG00000128758	REACT_22258
OTTHUMG00000152348	REACT_916
OTTHUMG00000152348	REACT_13
OTTHUMG00000128643	REACT_14797
OTTHUMG00000128643	REACT_14828
OTTHUMG00000128643	REACT_19184
OTTHUMG00000128643	REACT_18352
OTTHUMG00000128643	REACT_19231
OTTHUMG00000128643	REACT_21340
OTTHUMG00000128605	REACT_6305
OTTHUMG00000128605	REACT_22393
OTTHUMG00000102109	REACT_508
OTTHUMG00000102109	REACT_1195
OTTHUMG00000102109	REACT_498
OTTHUMG00000102109	REACT_20
OTTHUMG00000102109	REACT_278
OTTHUMG00000102109	REACT_999
OTTHUMG00000102109	REACT_762
OTTHUMG00000102109	REACT_604
OTTHUMG00000102109	REACT_332
OTTHUMG00000102109	REACT_661
OTTHUMG00000102109	REACT_524
OTTHUMG00000102109	REACT_11061
OTTHUMG00000102109	REACT_12033
OTTHUMG00000102109	REACT_6900
OTTHUMG00000102109	REACT_9417
OTTHUMG00000102109	REACT_12606
OTTHUMG00000102109	REACT_12579
OTTHUMG00000102109	REACT_17025
OTTHUMG00000102109	REACT_16888
OTTHUMG00000102109	REACT_12056
OTTHUMG00000102109	REACT_12058
OTTHUMG00000102109	REACT_9470
OTTHUMG00000102109	REACT_21272
OTTHUMG00000102109	REACT_21374
OTTHUMG00000102109	REACT_13638
OTTHUMG00000102109	REACT_13776
OTTHUMG00000102109	REACT_11044
OTTHUMG00000102109	REACT_11051
OTTHUMG00000102109	REACT_12051
OTTHUMG00000102109	REACT_13720
OTTHUMG00000102109	REACT_12621
OTTHUMG00000102109	REACT_13552
OTTHUMG00000102109	REACT_15523
OTTHUMG00000102109	REACT_15443
OTTHUMG00000102109	REACT_14797
OTTHUMG00000102109	REACT_18334
OTTHUMG00000102109	REACT_19351
OTTHUMG00000102109	REACT_19184
OTTHUMG00000102109	REACT_18407
OTTHUMG00000102109	REACT_18266
OTTHUMG00000102109	REACT_19226
OTTHUMG00000102109	REACT_22232
OTTHUMG00000102109	REACT_23837
OTTHUMG00000102109	REACT_23891
OTTHUMG00000128588	REACT_11066
OTTHUMG00000128588	REACT_11052
OTTHUMG00000128588	REACT_21257
OTTHUMG00000102076	REACT_467
OTTHUMG00000102076	REACT_1753
OTTHUMG00000102076	REACT_1735
OTTHUMG00000102076	REACT_1849
OTTHUMG00000102076	REACT_1281
OTTHUMG00000102076	REACT_125
OTTHUMG00000102076	REACT_894
OTTHUMG00000102076	REACT_1366
OTTHUMG00000102076	REACT_1788
OTTHUMG00000102076	REACT_71
OTTHUMG00000102076	REACT_1675
OTTHUMG00000102076	REACT_2039
OTTHUMG00000102076	REACT_78
OTTHUMG00000102076	REACT_387
OTTHUMG00000102076	REACT_397
OTTHUMG00000102076	REACT_1597
OTTHUMG00000100970	REACT_13433
OTTHUMG00000100970	REACT_13567
OTTHUMG00000100970	REACT_13705
OTTHUMG00000100970	REACT_13812
OTTHUMG00000100962	REACT_6323
OTTHUMG00000100962	REACT_6167
OTTHUMG00000100962	REACT_6222
OTTHUMG00000100962	REACT_6350
OTTHUMG00000128456	REACT_15550
OTTHUMG00000128456	REACT_15380
OTTHUMG00000128456	REACT_15518
OTTHUMG00000128456	REACT_19305
OTTHUMG00000128456	REACT_19118
OTTHUMG00000128456	REACT_20547
OTTHUMG00000128456	REACT_20530
OTTHUMG00000128456	REACT_20582
OTTHUMG00000152057	REACT_11059
OTTHUMG00000152057	REACT_11057
OTTHUMG00000152057	REACT_15493
OTTHUMG00000152057	REACT_15314
OTTHUMG00000152057	REACT_22258
OTTHUMG00000099385	REACT_1698
OTTHUMG00000099385	REACT_522
OTTHUMG00000099385	REACT_2086
